name,city,state,cert,id_number,end_date,
MID CITY BANK  INC.,OMAHA,NE,19397,63359,2011-09-30 00:00:00
HOMETOWN BANK,SAINT CLOUD,WI,12781,63742,2022-12-31 00:00:00
TOWANDA STATE BANK,TOWANDA,KS,15009,63751,2021-06-30 00:00:00
BANK OF COMMERCE,UDALL,KS,15524,64253,2004-06-30 00:00:00
BLOOMFIELD STATE BANK,BLOOMFIELD,IN,15714,64543,2017-12-31 00:00:00
STERLING NATIONAL BANK,NEW YORK,NY,7220,64619,2013-09-30 00:00:00
NORTHWOODS STATE BANK,ELCHO,WI,10738,64646,2004-12-31 00:00:00
UNITED PRAIRIE BANK - OWATONNA,OWATONNA,MN,1926,64758,2006-03-31 00:00:00
CLARKE COUNTY STATE BANK,OSCEOLA,IA,14980,65241,2018-06-30 00:00:00
DELTA NATIONAL BANK AND TRUST COMPANY,NEW YORK,NY,26633,65513,2023-09-30 00:00:00
CITIZENS UNION BANK OF SHELBYVILLE,SHELBYVILLE,KY,5840,65746,2021-12-31 00:00:00
BPD INTERNATIONAL BANK,NEW YORK,NY,26508,66015,2013-12-31 00:00:00
CENTRAL CO-OPERATIVE BANK,SOMERVILLE,MA,26646,66172,2012-09-30 00:00:00
SOUTHWEST BANK,ULYSSES,KS,25302,66350,2003-03-31 00:00:00
BANK OF ELLAVILLE,ELLAVILLE,GA,5687,66837,2011-12-31 00:00:00
MAHASKA STATE BANK,OSKALOOSA,IA,14197,66846,2008-06-30 00:00:00
BATH NATIONAL BANK,BATH,NY,6962,66903,2005-09-30 00:00:00
FIRSTMERIT BANK  N.A.,AKRON,OH,13675,67311,2016-06-30 00:00:00
HOBLITZELL NATIONAL BANK OF HYNDMAN  THE,HYNDMAN,PA,7535,67414,2005-12-31 00:00:00
MEDFORD CO-OPERATIVE BANK,MEDFORD,MA,26572,67777,2004-12-31 00:00:00
WELLS FARGO BANK WYOMING  NATIONAL ASSOCIATION,CASPER,WY,2210,67852,2003-09-30 00:00:00
PEOPLES BANK OF BULLITT COUNTY  THE,SHEPHERDSVILLE,KY,1884,68345,2015-09-30 00:00:00
UNION NATIONAL BANK & TRUST COMPANY,SPARTA,WI,5325,68448,2019-12-31 00:00:00
WELLS FARGO BANK ALASKA  NATIONAL ASSOCIATION,ANCHORAGE,AK,16853,68569,2003-09-30 00:00:00
UNION BANK & TRUST COMPANY,EVANSVILLE,WI,15177,68840,2019-03-31 00:00:00
FIRST NATIONAL BANK OF DURANGO  THE,DURANGO,CO,3014,68859,2018-06-30 00:00:00
FIRST NATIONAL BANK MIDWEST,OSKALOOSA,IA,15484,68943,2016-09-30 00:00:00
BANK OF DURANGO  THE,DURANGO,CO,24701,69351,2007-03-31 00:00:00
FARMERS STATE BANK,BIG SPRINGS,NE,18712,69650,2006-09-30 00:00:00
FARMERS STATE BANK  THE,SWEETSER,IN,5777,69847,2012-09-30 00:00:00
COMMUNITY BANK,NOBLESVILLE,IN,13147,70049,2014-09-30 00:00:00
FARMERS & MERCHANTS BANK  THE,DYER,TN,1480,70058,2020-06-30 00:00:00
BRIDGEWATER CO-OPERATIVE BANK,BRIDGEWATER,MA,26550,70076,2007-09-30 00:00:00
WESTERN BANK OF CHEYENNE,CHEYENNE,WY,25154,70151,2007-09-30 00:00:00
FARMERS AND MERCHANTS STATE BANK  THE,WAKEFIELD,KS,1871,70254,2010-06-30 00:00:00
DOWNINGTOWN NATIONAL BANK,DOWNINGTOWN,PA,7464,71318,2019-09-30 00:00:00
FALMOUTH CO-OPERATIVE BANK,FALMOUTH,MA,26481,71671,2004-06-30 00:00:00
CLYDE SAVINGS BANK COMPANY  THE,CLYDE,OH,10656,72418,2004-06-30 00:00:00
BALTIMORE TRUST COMPANY,SELBYVILLE,DE,11652,72614,2007-06-30 00:00:00
SECURITY BANK  N.A.,NORTH LAUDERDALE,FL,23156,73031,2012-03-31 00:00:00
DAKOTA STATE BANK OF BLUNT  SOUTH DAKOTA  THE,BLUNT,SD,1682,74159,2015-12-31 00:00:00
CRYSTAL RIVER BANK,CRYSTAL RIVER,FL,17295,74337,2007-12-31 00:00:00
UNITED BANK OF KANSAS,WHITING,KS,17104,74458,2012-09-30 00:00:00
FIRST MINNESOTA BANK  NATIONAL ASSOCIATION,MINNETONKA,MN,5151,75053,2019-06-30 00:00:00
FIRST NATIONAL BANK OF BAIRD  THE,BAIRD,TX,3086,75558,2020-12-31 00:00:00
COASTAL BANC  STATE SAVINGS BANK,HOUSTON,TX,30757,75576,2004-03-31 00:00:00
BANK OF FRIENDSHIP,FRIENDSHIP,TN,2398,75857,2004-12-31 00:00:00
FIRST BANK,AZLE,TX,23588,76050,2008-12-31 00:00:00
HIGHLAND COMMUNITY BANK,CHICAGO,IL,20290,76135,2014-12-31 00:00:00
FLEET NATIONAL BANK,PROVIDENCE,RI,2558,76201,2005-03-31 00:00:00
FIRST CITIZENS STATE BANK,NEWPORT,IN,9283,76742,2003-12-31 00:00:00
COMMUNITY FIRST BANK,CORYDON,IN,12827,77347,2009-09-30 00:00:00
FIRST BANK NORTHWEST,CLARKSTON,WA,28351,77374,2006-09-30 00:00:00
FIRST NATIONAL BANK & TRUST COMPANY OF COLUMBUS,COLUMBUS,NE,5393,77758,2013-12-31 00:00:00
MONROE COUNTY BANK,FORSYTH,GA,156,78036,2014-06-30 00:00:00
YELLOW MEDICINE COUNTY BANK,GRANITE FALLS,MN,8854,78054,2007-03-31 00:00:00
STATE BANK OF VIROQUA  THE,VIROQUA,WI,15403,78643,2008-12-31 00:00:00
FIRST STATE BANK  HONEY GROVE  TEXAS,HONEY GROVE,TX,3258,78858,2015-09-30 00:00:00
